Type,ItemName,Description,Icon,maxStackSize,isStackable
CarrotSeed,´ç±Ù¾¾¾Ñ,±Í¿©¿ò,Icon_CarrotSeed,99,1
BeetSeed,ºñÆ®¾¾¾Ñ,±Í¿©¿ò,Icon_BeetSeed,99,1
BeanSeed,Äá¾¾¾Ñ,±Í¿©¿ò,Icon_BeanSeed,99,1
BroccoliSeed,ºê·ÎÄÝ¸®¾¾¾Ñ,±Í¿©¿ò,Icon_BroccoliSeed,99,1
ChilliSeed,°íÃß¾¾¾Ñ,±Í¿©¿ò,Icon_ChilliSeed,99,1
CucumberSeed,¿ÀÀÌ¾¾¾Ñ,±Í¿©¿ò,Icon_CucumberSeed,99,1
EggplaintSeed,°¡Áö¾¾¾Ñ,±Í¿©¿ò,Icon_EggplaintSeed,99,1
PumkinSeed,È£¹Ú¾¾¾Ñ,±Í¿©¿ò,Icon_PumkinSeed,99,1
CornSeed,¿Á¼ö¼ö¾¾¾Ñ,±Í¿©¿ò,Icon_CornSeed,99,1
WatermelonSeed,¼ö¹Ú¾¾¾Ñ,±Í¿©¿ò,Icon_WatermelonSeed,99,1
OnionSeed,¾çÆÄ¾¾¾Ñ,±Í¿©¿ò,Icon_OnionSeed,99,1
PepperSeed,ÆÄÇÁ¸®Ä«¾¾¾Ñ,±Í¿©¿ò,Icon_PepperSeed,99,1
AsparagusSeed,¾Æ½ºÆÄ¶ó°Å½º¾¾¾Ñ,±Í¿©¿ò,Icon_AsparagusSeed,99,1
Carrot,´ç±Ù,±Í¿©¿ò,Icon_Carrot,10,1
Beet,ºñÆ®,±Í¿©¿ò,Icon_Beet,10,1
Bean,Äá¾¾¾Ñ,±Í¿©¿ò,Icon_Bean,10,1
Broccoli,ºê·ÎÄÝ¸®,±Í¿©¿ò,Icon_Broccoli,10,1
Chilli,°íÃß,±Í¿©¿ò,Icon_Chilli,10,1
Cucumber,¿ÀÀÌ,±Í¿©¿ò,Icon_Cucumber,10,1
Eggplaint,°¡Áö,±Í¿©¿ò,Icon_Eggplaint,10,1
Pumkin,È£¹Ú,±Í¿©¿ò,Icon_Pumkin,10,1
Corn,¿Á¼ö¼ö,±Í¿©¿ò,Icon_Corn,10,1
Watermelon,¼ö¹Ú,±Í¿©¿ò,Icon_Watermelon,10,1
Onion,¾çÆÄ,±Í¿©¿ò,Icon_Onion,10,1
Pepper,ÆÄÇÁ¸®Ä«,±Í¿©¿ò,Icon_Pepper,10,1
Asparagus,¾Æ½ºÆÄ¶ó°Å½º,±Í¿©¿ò,Icon_Asparagus,10,1
