Type,Stock,BuyPrice,SellPrice,CanBuy,CanSell,HasUnlimitedStock
CarrotSeed,99,80,0,TRUE,FALSE,TRUE
BeetSeed,99,90,0,TRUE,FALSE,TRUE
BeanSeed,99,95,0,TRUE,FALSE,TRUE
BroccoliSeed,99,130,0,TRUE,FALSE,TRUE
ChilliSeed,99,120,0,TRUE,FALSE,TRUE
CucumberSeed,99,110,0,TRUE,FALSE,TRUE
EggplaintSeed,99,140,0,TRUE,FALSE,TRUE
PumkinSeed,99,150,0,TRUE,FALSE,TRUE
CornSeed,99,100,0,TRUE,FALSE,TRUE
WatermelonSeed,99,200,0,TRUE,FALSE,TRUE
OnionSeed,99,100,0,TRUE,FALSE,TRUE
PepperSeed,99,150,0,TRUE,FALSE,TRUE
AsparagusSeed,99,180,0,TRUE,FALSE,TRUE
Carrot,99,0,120,FALSE,TRUE,TRUE
Beet,99,0,130,FALSE,TRUE,TRUE
Bean,99,0,140,FALSE,TRUE,TRUE
Broccoli,99,0,190,FALSE,TRUE,TRUE
Chilli,99,0,180,FALSE,TRUE,TRUE
Cucumber,99,0,160,FALSE,TRUE,TRUE
Eggplaint,99,0,200,FALSE,TRUE,TRUE
Pumkin,99,0,210,FALSE,TRUE,TRUE
Corn,99,0,130,FALSE,TRUE,TRUE
Watermelon,99,0,300,FALSE,TRUE,TRUE
Onion,99,0,130,FALSE,TRUE,TRUE
Pepper,99,0,210,FALSE,TRUE,TRUE
Asparagus,99,0,270,FALSE,TRUE,TRUE
